                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 2.1651,                 1.5062,                 1.8742,                  2.148,                 1.8273,                  1.725,                0.51256,                0.54068,                0.54299,                0.21234,                 1.9704,                 1.4154,                 1.7789,                 1.9312,                 1.7766,                  1.661,              0.0019307,              0.0019307,              0.0019307
                     24,                 2.0973,                 1.4762,                 1.9161,                 2.0529,                 1.8207,                 1.7206,                0.54121,                0.56454,                0.57419,                0.24792,                 1.8909,                 1.3493,                 1.7399,                 1.8734,                 1.6799,                 1.6221,              0.0019274,              0.0019274,              0.0019274
                     25,                 2.0831,                 1.4793,                 1.8937,                  2.023,                 1.7828,                 1.7179,                0.57227,                 0.5643,                0.57679,                0.22802,                 2.0028,                  1.345,                 1.7295,                 2.0071,                 1.5901,                 1.6502,              0.0019241,              0.0019241,              0.0019241
                     26,                 2.1487,                 1.4055,                 1.8693,                 2.1227,                 1.6785,                 1.6964,                0.57882,                 0.6096,                0.60863,                0.24698,                 1.8722,                 1.2606,                 1.7013,                 1.8402,                  1.598,                 1.5827,              0.0019208,              0.0019208,              0.0019208
                     27,                 2.0015,                 1.3893,                 1.8695,                 2.0058,                 1.6586,                 1.7015,                 0.5766,                0.62642,                0.60032,                0.27317,                 1.8178,                 1.2738,                 1.6819,                 1.7831,                 1.4919,                 1.5355,              0.0019175,              0.0019175,              0.0019175
                     28,                 1.9913,                 1.3658,                 1.7992,                 2.0215,                 1.6868,                 1.6697,                0.54769,                0.56168,                0.55802,                0.25438,                 1.8811,                 1.2534,                 1.7139,                 1.7903,                 1.5381,                  1.582,              0.0019142,              0.0019142,              0.0019142
                     29,                 1.9378,                 1.3101,                 1.7503,                 1.9598,                 1.5797,                 1.6205,                0.57496,                0.70079,                0.61939,                0.27905,                 1.8467,                 1.2377,                 1.6723,                 1.8419,                 1.4249,                 1.5359,              0.0019109,              0.0019109,              0.0019109
                     30,                 1.9258,                 1.2877,                 1.7699,                 1.9279,                 1.5288,                 1.6232,                0.67475,                0.69641,                0.71204,                0.35092,                 1.7053,                 1.1214,                 1.6072,                 1.7192,                 1.2723,                 1.4913,              0.0019076,              0.0019076,              0.0019076
                     31,                 1.9605,                 1.2883,                 1.7539,                 1.9883,                 1.5029,                  1.613,                 0.6315,                0.66142,                0.68503,                0.32835,                 1.7081,                 1.1306,                  1.589,                 1.7167,                 1.2971,                   1.52,              0.0019043,              0.0019043,              0.0019043
                     32,                 1.8719,                 1.2185,                 1.6676,                 1.9542,                 1.4378,                 1.5549,                0.64093,                0.69116,                0.71163,                0.36924,                 1.6226,                 1.2131,                 1.5234,                 1.6057,                 1.2845,                 1.4382,               0.001901,               0.001901,               0.001901
                     33,                 1.8303,                 1.2418,                 1.7126,                 1.8978,                 1.4104,                 1.5673,                0.68522,                0.69704,                0.74856,                 0.3809,                 1.6448,                  1.076,                 1.5339,                 1.6733,                 1.1449,                 1.4356,              0.0018977,              0.0018977,              0.0018977
                     34,                 1.8505,                 1.2232,                 1.6634,                 1.9283,                 1.4389,                 1.5528,                0.63468,                  0.722,                0.71887,                0.36339,                 1.6494,                 1.1054,                 1.5268,                 1.6641,                 1.2451,                 1.4323,              0.0018944,              0.0018944,              0.0018944
                     35,                 1.7969,                 1.2174,                 1.6195,                 1.9179,                 1.4138,                 1.5283,                0.65131,                0.73841,                0.74626,                0.39992,                 1.5629,                 1.0504,                  1.483,                 1.5823,                 1.1469,                 1.3927,              0.0018911,              0.0018911,              0.0018911
                     36,                 1.7738,                 1.1866,                 1.6546,                 1.8295,                 1.3788,                 1.5552,                0.66036,                0.73491,                0.73733,                0.37485,                 1.5269,                   1.05,                 1.4473,                 1.6048,                 1.2226,                 1.4174,              0.0018878,              0.0018878,              0.0018878
                     37,                 1.7431,                 1.1586,                 1.5918,                 1.8495,                 1.3502,                 1.5021,                0.68882,                0.71216,                0.75817,                0.39148,                   1.58,                 1.0057,                 1.4853,                 1.6387,                 1.1052,                 1.4307,              0.0018845,              0.0018845,              0.0018845
                     38,                 1.7504,                  1.153,                 1.6457,                 1.8328,                  1.393,                 1.5585,                0.63996,                0.70691,                0.70545,                0.38366,                 1.5427,                 1.1057,                 1.4812,                 1.6204,                 1.2808,                 1.4194,              0.0018812,              0.0018812,              0.0018812
                     39,                 1.7567,                 1.1225,                 1.6086,                  1.856,                 1.3117,                 1.5118,                0.69195,                0.75241,                0.77711,                0.41875,                 1.5836,                   1.06,                 1.4837,                 1.5642,                 1.1249,                 1.3905,              0.0018779,              0.0018779,              0.0018779
                     40,                    1.7,                 1.1065,                  1.538,                 1.7474,                 1.2738,                 1.4591,                 0.7039,                0.77165,                0.80036,                0.42812,                 1.5227,                0.96557,                 1.4108,                  1.564,                 1.0366,                 1.3734,              0.0018746,              0.0018746,              0.0018746
                     41,                 1.7399,                 1.1024,                 1.6135,                 1.7947,                 1.2562,                 1.5366,                0.70612,                0.77148,                0.80228,                0.44594,                 1.5229,                0.93911,                 1.4177,                 1.5327,                0.97527,                 1.3496,              0.0018713,              0.0018713,              0.0018713
                     42,                 1.7202,                 1.0731,                 1.5264,                 1.8036,                 1.2144,                 1.4467,                0.69195,                0.71927,                0.78773,                0.43239,                 1.5037,                 0.9845,                 1.4013,                 1.5471,                 1.0824,                 1.3817,               0.001868,               0.001868,               0.001868
                     43,                 1.6816,                  1.065,                 1.5117,                 1.7739,                 1.1916,                 1.4449,                0.75458,                0.72616,                0.79734,                0.45321,                 1.4227,                0.91834,                 1.3696,                 1.4859,                0.96102,                 1.3536,              0.0018647,              0.0018647,              0.0018647
                     44,                 1.6833,                 1.0804,                 1.5789,                 1.7607,                 1.1995,                 1.5053,                0.69963,                0.79965,                0.81632,                0.45244,                 1.4828,                0.94496,                 1.4106,                 1.5415,                0.97224,                 1.3758,              0.0018614,              0.0018614,              0.0018614
                     45,                 1.6801,                 1.0398,                 1.5076,                 1.7636,                 1.1585,                 1.4319,                0.75237,                0.74427,                0.81805,                 0.4544,                 1.4412,                0.98354,                 1.3757,                 1.4952,                 1.0059,                 1.3453,              0.0018581,              0.0018581,              0.0018581
                     46,                 1.6324,                 1.0892,                 1.5095,                 1.7391,                 1.2189,                 1.4519,                0.74505,                0.76903,                0.80914,                0.43913,                 1.4673,                0.92469,                 1.3921,                 1.5493,                0.95141,                 1.3718,              0.0018548,              0.0018548,              0.0018548
                     47,                 1.5448,                0.97607,                  1.444,                 1.6638,                 1.0902,                 1.3818,                0.73796,                0.79828,                0.83549,                0.48293,                 1.4148,                 0.9661,                 1.3648,                 1.4477,                 1.0232,                 1.3223,              0.0018515,              0.0018515,              0.0018515
                     48,                 1.5862,                 1.0173,                 1.5012,                 1.7091,                 1.1307,                 1.4329,                0.72659,                0.79285,                0.79509,                0.42219,                 1.4436,                0.96257,                 1.3932,                 1.5362,                 0.9892,                 1.3537,              0.0018482,              0.0018482,              0.0018482
                     49,                 1.6243,                 1.0343,                 1.4673,                 1.7434,                 1.1384,                 1.4126,                0.77021,                0.80315,                0.83089,                0.43018,                 1.5869,                0.95108,                 1.4173,                 1.6194,                0.97947,                 1.3888,              0.0018449,              0.0018449,              0.0018449
                     50,                 1.5857,                 1.0179,                 1.4641,                 1.7013,                 1.1319,                 1.3972,                0.75484,                0.80544,                0.84199,                0.47021,                 1.4287,                0.89904,                 1.3639,                 1.4972,                0.92783,                 1.3341,              0.0018416,              0.0018416,              0.0018416
                     51,                 1.4825,                0.97865,                  1.454,                   1.61,                  1.101,                 1.3985,                0.74013,                0.80665,                0.82395,                 0.4828,                 1.3794,                0.88975,                 1.3371,                 1.4128,                0.94215,                 1.2919,              0.0018383,              0.0018383,              0.0018383
