                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                 1.0244,                0.64492,                 1.1182,                 1.1488,                0.63559,                 1.1094,                 0.8604,                0.90052,                0.94551,                0.70904,                0.89045,                0.54258,                 1.0115,                0.93874,                0.48594,                 1.0064,              0.0016172,              0.0016172,              0.0016172
                    119,                   1.04,                0.64224,                 1.1171,                  1.184,                0.63821,                 1.1256,                0.88105,                0.88776,                0.94959,                0.69862,                0.91742,                0.56571,                 1.0218,                0.96559,                0.48095,                 1.0211,              0.0016139,              0.0016139,              0.0016139
                    120,                 1.0257,                0.64408,                 1.1213,                 1.1945,                0.63885,                 1.1276,                0.86496,                0.87839,                0.94223,                0.69806,                0.85563,                0.54638,                  1.008,                0.92433,                0.48655,                 1.0149,              0.0016106,              0.0016106,              0.0016106
                    121,                 1.0716,                0.66992,                 1.1338,                 1.2156,                0.65575,                 1.1357,                0.84726,                0.91251,                 0.9422,                0.71486,                0.83869,                0.55861,                0.98588,                0.90536,                0.49936,                0.98992,              0.0016073,              0.0016073,              0.0016073
                    122,                0.96017,                 0.6156,                 1.1072,                 1.1193,                0.62982,                 1.1139,                0.86135,                0.93001,                0.95626,                0.73881,                0.80293,                0.52721,                0.97785,                0.85519,                0.44711,                0.97668,               0.001604,               0.001604,               0.001604
                    123,                 1.0067,                0.62295,                  1.107,                 1.1346,                0.62811,                 1.1111,                0.86856,                0.91339,                0.95475,                0.73794,                0.81947,                0.53875,                 0.9831,                0.84785,                0.44887,                0.97951,              0.0016007,              0.0016007,              0.0016007
                    124,                0.95958,                0.61833,                 1.1124,                 1.0836,                 0.6066,                 1.1143,                0.88174,                0.93176,                0.96444,                0.74617,                0.83069,                0.51276,                0.98555,                0.86096,                0.41156,                0.97603,              0.0015974,              0.0015974,              0.0015974
                    125,                 1.0139,                 0.6424,                 1.1494,                 1.1442,                0.63527,                 1.1439,                0.89615,                0.88334,                 0.9553,                0.73402,                0.81913,                  0.545,                0.98058,                0.86869,                0.46756,                0.97912,              0.0015941,              0.0015941,              0.0015941
                    126,                0.99549,                0.62643,                  1.108,                 1.1284,                 0.6096,                 1.1062,                0.88727,                 0.9021,                0.96141,                0.73272,                0.86547,                0.52915,                0.99758,                0.91261,                0.43395,                  0.995,              0.0015908,              0.0015908,              0.0015908
                    127,                 1.0205,                0.63534,                 1.1017,                 1.1467,                0.63294,                 1.0965,                0.91152,                0.89231,                0.96151,                0.74131,                0.83089,                0.51214,                 0.9811,                0.86882,                0.44848,                0.97632,              0.0015875,              0.0015875,              0.0015875
                    128,                 1.0089,                0.62627,                  1.106,                 1.1295,                0.62986,                  1.105,                0.88877,                0.90376,                0.95852,                0.74404,                0.84794,                0.51644,                0.98624,                0.85786,                0.42238,                0.97294,              0.0015842,              0.0015842,              0.0015842
                    129,                0.96315,                 0.6093,                 1.0966,                 1.0946,                0.58823,                 1.0877,                0.89285,                0.92038,                0.96524,                0.74828,                0.81502,                0.49815,                0.98169,                0.84849,                0.40627,                0.97855,              0.0015809,              0.0015809,              0.0015809
                    130,                0.98698,                0.62478,                 1.1279,                 1.0961,                0.63081,                 1.1285,                0.88711,                0.92651,                0.96493,                0.75394,                0.80216,                0.50651,                0.98461,                 0.8479,                 0.4083,                0.98262,              0.0015776,              0.0015776,              0.0015776
                    131,                 1.0086,                0.62088,                 1.1166,                 1.1307,                0.60568,                 1.1181,                0.90663,                0.91746,                0.96828,                0.73819,                 0.8422,                0.51101,                0.97921,                0.91048,                0.39657,                0.97958,              0.0015743,              0.0015743,              0.0015743
                    132,                 1.0073,                0.62674,                 1.1205,                 1.1632,                0.61531,                 1.1154,                0.87073,                0.91864,                0.95319,                0.73561,                0.83203,                0.56056,                 0.9912,                0.87753,                0.46025,                0.98129,               0.001571,               0.001571,               0.001571
                    133,                0.97424,                0.61421,                 1.1086,                 1.1094,                0.60949,                 1.1004,                0.89619,                0.91388,                0.96388,                  0.752,                0.81289,                0.51341,                0.97972,                0.84757,                0.41509,                0.97203,              0.0015677,              0.0015677,              0.0015677
                    134,                0.97955,                0.61006,                 1.0997,                 1.1147,                0.61215,                 1.0974,                0.86337,                0.92388,                0.95299,                0.74085,                0.79728,                 0.5428,                 0.9811,                0.84619,                0.47217,                0.97295,              0.0015644,              0.0015644,              0.0015644
                    135,                 1.0107,                0.62182,                 1.1071,                 1.1552,                0.60372,                 1.1068,                0.88368,                0.91722,                0.95968,                0.74782,                0.79744,                0.50789,                0.97891,                0.85105,                0.42317,                0.97747,              0.0015611,              0.0015611,              0.0015611
                    136,                 0.9946,                0.62906,                 1.0761,                 1.1506,                0.61514,                 1.0859,                0.90189,                0.89764,                0.96007,                0.73849,                0.82826,                 0.5454,                0.97178,                0.86417,                 0.4812,                0.97852,              0.0015578,              0.0015578,              0.0015578
                    137,                 1.0004,                0.62393,                  1.086,                 1.1196,                0.61484,                  1.093,                0.88035,                0.90761,                0.95833,                 0.7404,                0.80082,                0.50804,                0.97141,                0.86301,                0.44332,                0.97211,              0.0015545,              0.0015545,              0.0015545
                    138,                 1.0072,                0.62984,                 1.1157,                 1.1152,                0.61276,                 1.1276,                 0.8968,                0.90814,                0.96446,                0.74989,                0.81717,                0.52186,                0.97011,                0.86417,                0.44008,                0.97254,              0.0015512,              0.0015512,              0.0015512
                    139,                0.94595,                0.60794,                 1.0701,                 1.0865,                0.58623,                 1.0818,                0.90269,                0.91339,                0.96412,                 0.7476,                0.79743,                0.53951,                0.96399,                0.86992,                 0.4564,                0.97212,              0.0015479,              0.0015479,              0.0015479
                    140,                0.96114,                0.59531,                 1.0867,                 1.0868,                0.56893,                 1.0873,                0.91732,                0.92388,                0.97047,                0.77097,                0.76842,                0.48826,                0.95294,                0.80787,                0.38492,                0.94931,              0.0015446,              0.0015446,              0.0015446
                    141,                0.97015,                0.59027,                 1.0736,                 1.1007,                0.57464,                 1.0781,                0.90504,                0.92913,                0.96831,                0.75543,                0.77771,                0.47851,                0.96578,                0.81785,                0.39781,                0.95953,              0.0015413,              0.0015413,              0.0015413
                    142,                 0.9399,                0.59426,                 1.0897,                 1.0633,                 0.5888,                 1.1031,                0.90561,                0.90464,                0.96161,                0.75966,                0.77931,                 0.4964,                0.95945,                0.80793,                0.41431,                 0.9491,               0.001538,               0.001538,               0.001538
                    143,                0.94917,                0.59859,                  1.095,                 1.0577,                0.57246,                 1.0974,                0.90516,                0.90464,                0.96535,                0.74568,                0.80777,                0.50425,                0.97882,                 0.8715,                0.41342,                 0.9886,              0.0015347,              0.0015347,              0.0015347
                    144,                0.98912,                0.60117,                 1.0831,                 1.1205,                0.58406,                 1.0956,                0.88751,                0.89734,                0.95179,                0.73457,                0.80623,                0.51786,                0.97292,                0.85586,                0.43159,                0.96909,              0.0015314,              0.0015314,              0.0015314
                    145,                0.98954,                0.60814,                 1.0896,                 1.1102,                0.58443,                 1.0888,                0.88159,                0.91601,                0.96336,                 0.7534,                0.81839,                0.51888,                0.98861,                 0.8638,                0.41924,                 0.9794,              0.0015281,              0.0015281,              0.0015281
                    146,                0.98356,                0.60807,                 1.1054,                 1.1072,                0.60046,                 1.1015,                0.90944,                0.90639,                0.96501,                0.73619,                 0.8055,                0.50468,                0.97558,                0.87748,                0.42813,                0.98358,              0.0015248,              0.0015248,              0.0015248
                    147,                 0.9484,                 0.5816,                 1.0801,                 1.0801,                0.54532,                 1.0778,                0.90702,                0.91251,                0.96806,                0.76394,                0.75579,                0.47826,                0.95951,                 0.8201,                0.38173,                0.95658,              0.0015215,              0.0015215,              0.0015215
                    148,                0.97555,                0.59695,                 1.1088,                 1.1087,                0.57865,                 1.1122,                 0.9197,                0.90178,                0.96941,                0.77583,                 0.7492,                 0.4774,                0.95489,                0.78731,                0.37516,                0.94599,              0.0015182,              0.0015182,              0.0015182
                    149,                0.96494,                0.58847,                 1.0841,                  1.107,                0.59229,                 1.0831,                0.91552,                0.91251,                0.96984,                0.78417,                0.73518,                0.46351,                0.94615,                 0.7564,                 0.3659,                0.93755,              0.0015149,              0.0015149,              0.0015149
                    150,                0.92273,                0.57377,                 1.0752,                 1.0459,                0.55122,                 1.0866,                0.90197,                0.93383,                0.96978,                0.76866,                0.76661,                0.47755,                0.94891,                0.83029,                0.37034,                0.95089,              0.0015116,              0.0015116,              0.0015116
                    151,                0.94564,                0.58617,                 1.0736,                 1.0695,                0.56698,                 1.0806,                0.91295,                 0.9267,                0.97509,                0.78362,                0.73747,                0.47059,                0.94337,                0.77483,                0.34836,                0.93603,              0.0015083,              0.0015083,              0.0015083
                    152,                0.95226,                0.59779,                  1.087,                 1.0812,                0.59582,                 1.0835,                 0.9211,                0.90904,                0.96488,                0.76444,                 0.7899,                0.49586,                0.95222,                0.83774,                0.39847,                0.94342,               0.001505,               0.001505,               0.001505
                    153,                0.95799,                0.60005,                 1.1012,                 1.0695,                0.58571,                 1.0963,                0.90753,                0.92301,                0.97087,                0.75373,                0.80723,                0.49107,                0.95805,                0.85233,                0.40246,                 0.9514,              0.0015017,              0.0015017,              0.0015017
                    154,                0.92265,                 0.5811,                 1.0716,                 1.0273,                0.54695,                 1.0689,                0.90596,                0.90189,                0.96148,                0.74611,                0.80073,                 0.4839,                0.96394,                0.86365,                0.40373,                0.96459,              0.0014984,              0.0014984,              0.0014984
                    155,                0.95775,                0.57945,                  1.108,                 1.0906,                0.58267,                 1.1078,                0.93774,                0.89326,                0.97101,                 0.7704,                0.77094,                0.46588,                0.95783,                0.80948,                0.37243,                0.95379,              0.0014951,              0.0014951,              0.0014951
                    156,                 0.9232,                0.58038,                 1.0779,                 1.0457,                0.57251,                 1.0901,                  0.923,                0.91242,                0.97062,                0.77784,                0.75827,                0.47419,                0.94784,                0.78889,                0.37196,                0.94055,              0.0014918,              0.0014918,              0.0014918
                    157,                0.96284,                0.58198,                 1.0656,                 1.1187,                0.56776,                 1.0704,                0.90233,                0.92476,                0.96734,                0.77484,                0.76151,                0.48816,                0.95186,                  0.785,                0.37786,                  0.941,              0.0014885,              0.0014885,              0.0014885
                    158,                 0.9461,                0.59054,                 1.0735,                 1.0861,                0.57325,                 1.0716,                0.92382,                0.91514,                0.97282,                0.78198,                 0.7396,                0.47592,                0.94269,                0.77921,                0.37554,                0.93753,              0.0014852,              0.0014852,              0.0014852
                    159,                 0.8934,                 0.5807,                 1.0736,                 1.0122,                0.55832,                 1.0824,                0.91583,                0.92338,                0.96842,                0.78714,                0.72393,                0.47103,                 0.9374,                0.75528,                0.37079,                0.92927,              0.0014819,              0.0014819,              0.0014819
                    160,                0.93678,                0.58517,                 1.0643,                 1.0795,                 0.5469,                 1.0626,                0.91302,                0.93674,                0.97631,                0.78425,                0.71165,                0.45437,                0.92868,                0.77001,                0.35229,                0.93369,              0.0014786,              0.0014786,              0.0014786
                    161,                0.91791,                0.57337,                 1.0603,                 1.0576,                0.54992,                 1.0691,                0.88602,                0.94138,                0.97124,                0.77549,                 0.7293,                0.47579,                0.93642,                0.79412,                0.36996,                   0.94,              0.0014753,              0.0014753,              0.0014753
                    162,                0.93492,                0.57782,                 1.0768,                 1.0468,                0.53609,                 1.0807,                  0.918,                0.91164,                0.96901,                0.77672,                0.73861,                0.47226,                 0.9412,                0.78635,                0.37874,                0.93613,               0.001472,               0.001472,               0.001472
                    163,                 0.9229,                0.56846,                 1.0685,                 1.0408,                0.53953,                 1.0775,                0.91506,                0.92826,                0.97389,                0.78055,                0.73065,                0.45636,                0.94428,                0.77425,                0.37188,                0.94311,              0.0014687,              0.0014687,              0.0014687
                    164,                0.90124,                 0.5636,                 1.0834,                 1.0274,                0.55032,                 1.0876,                0.93437,                0.92173,                0.97694,                0.78854,                0.72463,                0.45435,                0.93382,                0.77474,                 0.3492,                0.93571,              0.0014654,              0.0014654,              0.0014654
                    165,                0.90404,                 0.5636,                 1.0726,                 1.0218,                0.54226,                 1.0811,                0.92493,                0.91076,                0.97222,                0.78503,                0.72347,                0.46519,                0.93833,                0.77088,                0.36373,                 0.9345,              0.0014621,              0.0014621,              0.0014621
                    166,                0.89204,                0.56704,                 1.0608,                 1.0194,                0.53363,                 1.0648,                 0.9085,                0.91601,                0.97121,                0.77994,                0.71679,                0.45491,                0.93482,                 0.7684,                 0.3656,                0.93259,              0.0014588,              0.0014588,              0.0014588
                    167,                0.91594,                 0.5676,                 1.0319,                 1.0436,                0.51167,                 1.0426,                0.91018,                0.91316,                0.96995,                0.78337,                0.71338,                0.46078,                0.93168,                0.76368,                0.37894,                0.93406,              0.0014555,              0.0014555,              0.0014555
                    168,                0.89838,                0.55202,                 1.0552,                 1.0121,                0.52516,                 1.0582,                0.91294,                0.92738,                0.97317,                0.77584,                0.73886,                0.50387,                0.94282,                0.79012,                 0.3943,                 0.9409,              0.0014522,              0.0014522,              0.0014522
                    169,                0.93252,                0.58954,                 1.0946,                  1.059,                  0.557,                 1.0962,                 0.9253,                0.93194,                0.97896,                0.78306,                0.74551,                0.46043,                0.94125,                 0.8006,                0.35563,                0.93677,              0.0014489,              0.0014489,              0.0014489
                    170,                0.90768,                0.56305,                 1.0429,                 1.0286,                0.51072,                 1.0362,                0.92623,                0.92277,                0.97507,                0.78763,                0.69194,                0.44763,                0.92393,                 0.7469,                0.36828,                0.92236,              0.0014456,              0.0014456,              0.0014456
                    171,                0.87137,                0.54387,                 1.0328,                0.99506,                0.53167,                 1.0378,                0.90873,                0.94576,                0.97752,                0.79223,                0.70274,                 0.4348,                0.91947,                0.75116,                0.34388,                0.91998,              0.0014423,              0.0014423,              0.0014423
                    172,                0.87913,                0.54837,                  1.064,                 1.0051,                0.54324,                 1.0669,                0.91005,                0.92126,                  0.974,                0.78465,                0.70702,                0.44849,                0.92076,                0.76802,                0.35748,                 0.9299,               0.001439,               0.001439,               0.001439
                    173,                 0.8554,                0.54029,                 1.0702,                0.97302,                 0.5195,                 1.0784,                 0.9339,                0.91468,                0.97796,                0.79893,                0.68029,                0.42831,                 0.9236,                0.73711,                0.34925,                 0.9291,              0.0014357,              0.0014357,              0.0014357
                    174,                 0.8725,                0.54677,                  1.035,                0.99978,                0.50075,                 1.0402,                0.91508,                 0.9428,                0.97749,                0.79053,                0.70447,                0.43033,                0.92928,                0.75635,                0.33962,                0.93689,              0.0014324,              0.0014324,              0.0014324
                    175,                0.89177,                0.53948,                 1.0439,                 1.0367,                0.51388,                 1.0596,                0.92779,                0.91164,                0.97454,                0.78946,                0.70088,                0.43822,                0.92689,                0.75731,                 0.3468,                0.93296,              0.0014291,              0.0014291,              0.0014291
                    176,                0.87802,                0.55453,                 1.0566,                 1.0136,                0.51249,                 1.0782,                0.93354,                0.90937,                0.97314,                0.78437,                0.70696,                0.44792,                0.92628,                0.76261,                0.34674,                0.93481,              0.0014258,              0.0014258,              0.0014258
                    177,                0.84178,                0.53605,                 1.0128,                0.97379,                0.50481,                 1.0265,                0.93073,                0.90517,                0.97202,                0.79054,                0.71256,                0.44433,                0.91874,                0.75579,                0.35612,                0.92987,              0.0014225,              0.0014225,              0.0014225
                    178,                0.90378,                0.54584,                 1.0376,                 1.0286,                0.51961,                 1.0448,                0.90529,                0.93788,                0.97543,                0.79374,                0.69507,                0.43967,                0.91708,                0.72916,                0.33866,                0.91564,              0.0014192,              0.0014192,              0.0014192
                    179,                0.89481,                0.55311,                 1.0484,                0.99826,                0.52547,                 1.0554,                  0.924,                0.94138,                 0.9788,                 0.8043,                0.68095,                0.42847,                 0.9194,                0.73843,                0.33547,                0.91748,              0.0014159,              0.0014159,              0.0014159
                    180,                0.86572,                0.54268,                 1.0349,                0.98872,                0.53722,                 1.0397,                0.92294,                0.94401,                0.98313,                0.80488,                0.68452,                0.41655,                0.91615,                0.72468,                0.31764,                0.91177,              0.0014126,              0.0014126,              0.0014126
                    181,                 0.8536,                 0.5443,                 1.0437,                0.97616,                0.52731,                 1.0502,                0.93068,                0.92563,                0.97741,                0.80205,                 0.6868,                0.43515,                 0.9163,                0.71439,                0.34032,                0.91363,              0.0014093,              0.0014093,              0.0014093
                    182,                0.87072,                0.53892,                  1.059,                0.98672,                0.49672,                 1.0733,                0.91326,                0.95799,                0.98317,                0.79898,                0.70212,                  0.429,                0.92335,                 0.7492,                0.31158,                 0.9235,               0.001406,               0.001406,               0.001406
                    183,                0.88798,                0.53617,                 1.0418,                 1.0152,                0.51306,                 1.0571,                0.90419,                0.93263,                0.97528,                0.79214,                0.73341,                0.43798,                0.92549,                0.75129,                0.34583,                0.91568,              0.0014027,              0.0014027,              0.0014027
                    184,                0.87049,                0.53579,                 1.0412,                0.97493,                 0.4942,                 1.0485,                0.94061,                0.91339,                 0.9776,                0.78868,                 0.7204,                0.43429,                0.92456,                0.76075,                0.34192,                0.93225,              0.0013994,              0.0013994,              0.0013994
                    185,                0.89144,                0.53548,                 1.0472,                 1.0368,                0.51432,                 1.0627,                0.92969,                0.91386,                 0.9773,                0.80484,                0.68127,                0.42893,                0.91327,                0.72479,                0.32831,                0.91488,              0.0013961,              0.0013961,              0.0013961
                    186,                0.86247,                0.52285,                  1.029,                0.97341,                0.48369,                   1.04,                0.93613,                0.93604,                0.98142,                0.80994,                0.64757,                0.41249,                0.90471,                0.70935,                0.30458,                0.90807,              0.0013928,              0.0013928,              0.0013928
                    187,                0.81517,                 0.5037,                 1.0213,                0.95077,                0.46087,                 1.0302,                0.92836,                0.92973,                0.97896,                0.80376,                0.66849,                0.43296,                 0.9093,                0.72741,                0.33295,                0.91566,              0.0013895,              0.0013895,              0.0013895
                    188,                0.84599,                0.53423,                 1.0466,                 1.0004,                0.50657,                 1.0602,                0.93643,                0.91504,                0.97827,                0.79645,                0.67544,                0.41518,                0.91173,                0.73965,                0.32863,                0.91927,              0.0013862,              0.0013862,              0.0013862
                    189,                0.82686,                0.52862,                  1.029,                0.96918,                0.49386,                 1.0454,                0.93735,                0.94252,                0.98338,                0.81067,                0.65816,                0.41472,                0.90581,                0.72409,                0.31334,                0.91194,              0.0013829,              0.0013829,              0.0013829
                    190,                0.85915,                0.53012,                 1.0196,                0.99396,                0.49867,                 1.0263,                0.92613,                0.94335,                0.97984,                0.80499,                 0.6582,                0.42484,                 0.9076,                0.71579,                0.31813,                0.91148,              0.0013796,              0.0013796,              0.0013796
                    191,                0.84585,                0.51828,                 1.0362,                0.96284,                0.48228,                 1.0453,                0.94771,                0.92913,                0.98035,                0.80511,                 0.6586,                0.42417,                0.91062,                0.71642,                0.32541,                 0.9174,              0.0013763,              0.0013763,              0.0013763
                    192,                0.84661,                0.52491,                 1.0312,                0.99071,                0.48911,                 1.0402,                0.93266,                0.92738,                0.97947,                0.80253,                0.67116,                0.43294,                0.91295,                0.72671,                0.32808,                0.91436,               0.001373,               0.001373,               0.001373
                    193,                0.86844,                0.51879,                 1.0362,                0.99987,                0.49806,                 1.0499,                0.93971,                0.94095,                0.98236,                0.81952,                0.66679,                0.41267,                0.90956,                0.70586,                0.31103,                0.90688,              0.0013697,              0.0013697,              0.0013697
                    194,                0.89168,                0.54485,                 1.0497,                0.99071,                 0.5198,                 1.0499,                0.94358,                0.93963,                0.97923,                0.80766,                0.67919,                0.42236,                0.91229,                0.71756,                0.31557,                0.91212,              0.0013664,              0.0013664,              0.0013664
                    195,                0.83676,                0.52608,                 1.0178,                0.94412,                0.49008,                 1.0161,                0.94153,                0.92913,                0.98225,                0.81436,                0.65461,                0.41331,                0.90741,                0.70066,                0.30286,                0.90475,              0.0013631,              0.0013631,              0.0013631
                    196,                0.81648,                0.51758,                0.99494,                0.94291,                0.49046,                 1.0061,                0.90918,                0.94138,                0.97808,                0.81049,                0.66363,                0.41431,                0.90608,                0.70223,                0.31454,                0.91217,              0.0013598,              0.0013598,              0.0013598
                    197,                0.83144,                0.51383,                 1.0009,                0.97594,                0.47757,                 1.0104,                0.93222,                0.92301,                0.97861,                0.81142,                0.64821,                0.41267,                0.89868,                0.67851,                0.31752,                0.89747,              0.0013565,              0.0013565,              0.0013565
                    198,                0.80859,                0.51669,                 1.0067,                0.93867,                0.49012,                 1.0104,                 0.9357,                0.92476,                0.97871,                0.81195,                0.67637,                0.42333,                0.90556,                0.70008,                0.32652,                0.89821,              0.0013532,              0.0013532,              0.0013532
                    199,                0.82245,                 0.5274,                 1.0217,                0.92918,                0.47634,                 1.0243,                0.91522,                0.95101,                 0.9783,                0.80492,                0.65886,                0.41337,                 0.9026,                0.71057,                0.32119,                0.89788,              0.0013499,              0.0013499,              0.0013499
                    200,                0.82178,                 0.5166,                 1.0116,                 0.9455,                0.47866,                 1.0196,                0.91298,                0.93876,                0.97632,                0.81155,                0.64632,                0.41273,                0.89863,                0.68726,                0.32641,                0.89078,              0.0013466,              0.0013466,              0.0013466
                    201,                 0.8126,                0.50014,                  1.001,                 0.9484,                0.45289,                 1.0086,                0.93101,                0.93701,                0.97945,                0.81624,                0.64186,                0.40648,                0.89882,                0.69885,                0.31009,                0.89481,              0.0013433,              0.0013433,              0.0013433
                    202,                0.81432,                0.52722,                 1.0316,                0.92671,                0.48265,                 1.0346,                0.93555,                0.93971,                0.98273,                0.81782,                0.64007,                0.40181,                0.90003,                0.68452,                0.30125,                0.89858,                0.00134,                0.00134,                0.00134
                    203,                0.83611,                0.51149,                 1.0173,                0.95597,                0.46744,                 1.0225,                0.94594,                0.91854,                0.98006,                 0.8116,                0.64412,                0.40321,                0.90033,                0.68346,                0.31168,                0.89804,              0.0013367,              0.0013367,              0.0013367
                    204,                0.84839,                0.51792,                 1.0344,                0.97288,                 0.4706,                 1.0345,                0.93112,                0.93438,                0.97827,                0.81044,                0.64788,                  0.408,                0.90453,                0.69915,                0.31026,                0.91111,              0.0013334,              0.0013334,              0.0013334
                    205,                0.81531,                 0.5076,                0.99912,                0.93731,                0.45963,                 1.0005,                0.93482,                 0.9285,                0.98042,                0.81065,                0.66179,                0.41398,                0.90331,                0.69813,                0.31621,                 0.9066,              0.0013301,              0.0013301,              0.0013301
                    206,                 0.8295,                0.50495,                 1.0006,                 0.9803,                0.47965,                 1.0152,                0.92755,                0.92965,                 0.9795,                0.82358,                0.62704,                0.39911,                0.89445,                0.67108,                0.31548,                 0.8983,              0.0013268,              0.0013268,              0.0013268
                    207,                 0.7787,                0.50087,                 1.0037,                0.89907,                0.46146,                 1.0114,                0.93591,                0.93613,                0.98212,                0.81771,                0.62905,                0.39917,                0.89866,                0.69073,                0.30748,                0.89893,              0.0013235,              0.0013235,              0.0013235
                    208,                0.81775,                0.52027,                 1.0181,                0.95856,                0.49271,                 1.0312,                0.96126,                0.91167,                0.98179,                 0.8229,                0.64226,                0.40193,                0.90286,                0.67467,                0.30238,                0.89611,              0.0013202,              0.0013202,              0.0013202
                    209,                0.82508,                0.51069,                 1.0042,                0.96097,                0.50652,                 1.0105,                0.92374,                0.94751,                0.97865,                0.80947,                0.65988,                0.40776,                0.90201,                0.70678,                0.31016,                 0.9032,              0.0013169,              0.0013169,              0.0013169
                    210,                0.82768,                0.51115,                0.99292,                 0.9605,                0.46651,                0.99587,                0.93971,                0.92726,                0.97752,                0.80922,                  0.663,                0.42381,                 0.8984,                  0.693,                0.32124,                0.89898,              0.0013136,              0.0013136,              0.0013136
                    211,                0.84409,                0.53031,                 1.0331,                 0.9708,                0.51611,                 1.0467,                0.94265,                0.92027,                0.98233,                0.81317,                 0.6588,                0.41363,                0.89729,                0.70815,                0.31356,                0.90088,              0.0013103,              0.0013103,              0.0013103
