                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1662,                0.81748,                 1.0845,                 0.8752,                0.81731,                0.90216,                0.60806,                  1.363,                 1.2294,                 1.4743,              0.0097756,              0.0097756,              0.0097756
                     36,                  1.145,                0.82536,                  1.087,                 0.8898,                0.92523,                0.94381,                0.65363,                 1.2507,                0.92078,                 1.3989,               0.009769,               0.009769,               0.009769
                     37,                 1.1293,                0.79401,                 1.0808,                0.86411,                 0.9324,                0.94166,                 0.6701,                 1.2191,                0.96868,                 1.3344,              0.0097624,              0.0097624,              0.0097624
                     38,                 1.1115,                0.79353,                 1.0708,                0.85705,                0.88393,                0.93027,                0.65949,                 1.2538,                0.96051,                 1.3911,              0.0097558,              0.0097558,              0.0097558
                     39,                 1.1213,                0.77062,                 1.0675,                0.87512,                0.93771,                0.93968,                0.67014,                 1.2307,                0.99051,                 1.3471,              0.0097492,              0.0097492,              0.0097492
                     40,                 1.0987,                0.76519,                 1.0641,                0.88117,                0.92708,                0.93898,                0.66742,                 1.2302,                0.91831,                  1.356,              0.0097426,              0.0097426,              0.0097426
                     41,                 1.0712,                0.75103,                 1.0367,                0.90189,                0.94631,                0.95498,                0.66926,                 1.2335,                0.91297,                 1.3884,               0.009736,               0.009736,               0.009736
                     42,                 1.0891,                0.75807,                 1.0521,                 0.8735,                0.93505,                0.94816,                0.66766,                 1.2156,                0.88784,                 1.3742,              0.0097294,              0.0097294,              0.0097294
                     43,                 1.0879,                0.74738,                 1.0521,                0.89078,                0.89583,                0.93687,                 0.6489,                 1.2584,                 0.9528,                 1.4327,              0.0097228,              0.0097228,              0.0097228
                     44,                 1.0433,                0.74299,                 1.0389,                0.90178,                0.90144,                0.94561,                0.67216,                 1.1963,                0.88095,                 1.3449,              0.0097162,              0.0097162,              0.0097162
                     45,                 1.0329,                0.74294,                 1.0252,                0.87212,                0.91262,                 0.9251,                0.67281,                 1.2267,                 1.0144,                 1.3994,              0.0097096,              0.0097096,              0.0097096
                     46,                  1.072,                0.73299,                 1.0506,                0.85435,                0.91587,                0.94804,                0.68705,                  1.253,                 1.0266,                 1.4408,               0.009703,               0.009703,               0.009703
                     47,                 1.0529,                0.73986,                 1.0433,                0.85642,                0.89583,                0.92996,                0.69219,                 1.1775,                0.99136,                 1.3734,              0.0096964,              0.0096964,              0.0096964
                     48,                 1.0194,                0.70264,                  1.023,                0.88183,                0.86705,                0.92495,                0.66727,                  1.342,                 1.1804,                  1.465,              0.0096898,              0.0096898,              0.0096898
                     49,                 1.0131,                0.71357,                  1.034,                0.90407,                0.90614,                0.94713,                0.70606,                 1.1595,                0.91988,                 1.3478,              0.0096832,              0.0096832,              0.0096832
                     50,                0.98024,                0.68505,                 1.0141,                 0.8937,                0.94151,                0.94932,                0.69902,                 1.1594,                0.90109,                 1.3489,              0.0096766,              0.0096766,              0.0096766
                     51,                 1.0059,                0.69204,                 1.0177,                0.90325,                0.96504,                0.96222,                0.71938,                 1.0715,                0.82606,                 1.3086,                0.00967,                0.00967,                0.00967
                     52,                0.97754,                0.67977,                 1.0114,                 0.8789,                0.95372,                0.95356,                0.71692,                 1.1247,                0.84778,                 1.3291,              0.0096634,              0.0096634,              0.0096634
                     53,                0.97696,                0.67162,                 1.0093,                0.86671,                0.82612,                0.92212,                0.67542,                 1.1681,                 1.2918,                 1.3556,              0.0096568,              0.0096568,              0.0096568
                     54,                0.95182,                0.66653,                 1.0005,                 0.9219,                0.94584,                0.96395,                0.73037,                 1.1219,                0.81419,                 1.3094,              0.0096502,              0.0096502,              0.0096502
                     55,                0.94971,                0.65339,                0.99987,                0.91103,                0.94952,                0.95996,                0.73013,                 1.0836,                 0.8567,                 1.2638,              0.0096436,              0.0096436,              0.0096436
                     56,                0.94507,                0.64693,                0.99381,                0.85023,                0.92228,                0.95105,                0.70611,                  1.074,                0.83157,                 1.2694,               0.009637,               0.009637,               0.009637
                     57,                0.93118,                0.63936,                0.99767,                0.92578,                0.92951,                0.96052,                0.72512,                 1.0712,                 0.7701,                 1.2826,              0.0096304,              0.0096304,              0.0096304
                     58,                0.93031,                0.64664,                0.98977,                0.87463,                0.92708,                 0.9486,                 0.6996,                 1.1212,                 0.8614,                 1.3125,              0.0096238,              0.0096238,              0.0096238
