                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.86908,                0.53111,                0.86178,                0.98908,                      1,                  0.995,                0.81169,                0.70805,                0.41881,                0.83855,               0.001297,               0.001297,               0.001297
                     37,                0.74596,                0.45757,                0.86179,                0.98908,                      1,                  0.995,                0.81169,                0.70805,                0.41881,                0.83855,              0.0013299,              0.0013299,              0.0013299
                     38,                0.74688,                 0.4641,                0.85174,                0.98736,                      1,                  0.995,                0.82482,                0.66177,                0.43542,                0.83685,              0.0013626,              0.0013626,              0.0013626
                     39,                0.77003,                0.46923,                0.87827,                0.98671,                      1,                  0.995,                0.81934,                0.65063,                 0.4446,                0.83687,              0.0013952,              0.0013952,              0.0013952
                     40,                0.73862,                 0.4748,                0.83578,                0.98671,                      1,                  0.995,                0.81934,                0.65063,                 0.4446,                0.83687,              0.0014275,              0.0014275,              0.0014275
                     41,                0.74208,                0.46784,                0.85107,                0.98823,                      1,                0.99489,                0.83068,                0.64136,                 0.4292,                 0.8362,              0.0014596,              0.0014596,              0.0014596
                     42,                0.83589,                0.51532,                0.86119,                0.98843,                      1,                0.99489,                0.82437,                0.66811,                0.42989,                0.83617,              0.0014916,              0.0014916,              0.0014916
                     43,                0.77448,                0.47292,                0.86349,                0.98843,                      1,                0.99489,                0.82437,                0.66811,                0.42989,                0.83617,              0.0015233,              0.0015233,              0.0015233
                     44,                0.78524,                0.47041,                0.83746,                0.98785,                      1,                0.99489,                0.82279,                0.65778,                0.41425,                0.83095,              0.0015548,              0.0015548,              0.0015548
                     45,                0.71663,                0.48141,                0.85495,                0.98785,                      1,                0.99489,                0.82279,                0.65778,                0.41425,                0.83095,              0.0015862,              0.0015862,              0.0015862
                     46,                0.69191,                0.44835,                0.86687,                      1,                 0.9969,                  0.995,                0.83634,                0.63556,                0.40199,                0.82992,              0.0016173,              0.0016173,              0.0016173
                     47,                0.69894,                0.46308,                 0.8526,                      1,                 0.9969,                  0.995,                0.83634,                0.63556,                0.40199,                0.82992,              0.0016482,              0.0016482,              0.0016482
                     48,                0.69961,                0.44919,                0.86296,                0.99945,                      1,                  0.995,                0.83093,                0.64258,                0.40805,                0.83732,               0.001679,               0.001679,               0.001679
                     49,                0.74999,                0.49547,                0.86176,                0.99945,                      1,                  0.995,                0.83093,                0.64258,                0.40805,                0.83732,              0.0017095,              0.0017095,              0.0017095
                     50,                  0.764,                0.49329,                0.87407,                0.99938,                      1,                  0.995,                0.83045,                0.65418,                0.41221,                0.83952,              0.0017399,              0.0017399,              0.0017399
                     51,                 0.7413,                0.45677,                0.85501,                0.99938,                      1,                  0.995,                0.83045,                0.65418,                0.41221,                0.83952,              0.0017525,              0.0017525,              0.0017525
                     52,                0.73982,                0.45269,                0.84967,                      1,                0.99881,                  0.995,                0.83955,                0.62344,                0.41161,                0.83362,              0.0017476,              0.0017476,              0.0017476
                     53,                0.65871,                0.44224,                0.85283,                      1,                0.99881,                  0.995,                0.83955,                0.62344,                0.41161,                0.83362,              0.0017426,              0.0017426,              0.0017426
                     54,                0.68972,                0.43543,                0.84958,                0.99616,                      1,                  0.995,                0.83088,                0.66604,                0.40521,                 0.8347,              0.0017376,              0.0017376,              0.0017376
                     55,                0.66393,                0.43551,                0.83272,                0.99616,                      1,                  0.995,                0.83088,                0.66604,                0.40521,                 0.8347,              0.0017327,              0.0017327,              0.0017327
                     56,                0.70126,                0.43924,                0.83842,                0.99703,                      1,                  0.995,                0.83167,                0.66455,                0.40327,                0.83459,              0.0017278,              0.0017278,              0.0017278
                     57,                0.77866,                0.44306,                0.82867,                0.99703,                      1,                  0.995,                0.83167,                0.66455,                0.40327,                0.83459,              0.0017228,              0.0017228,              0.0017228
                     58,                0.69985,                0.45607,                0.84924,                0.99863,                      1,                  0.995,                0.85201,                0.61701,                0.39522,                0.82917,              0.0017179,              0.0017179,              0.0017179
                     59,                0.67581,                0.42667,                0.82612,                0.99863,                      1,                  0.995,                0.85201,                0.61701,                0.39522,                0.82917,              0.0017129,              0.0017129,              0.0017129
                     60,                0.73331,                 0.4409,                0.85032,                0.99741,                      1,                  0.995,                0.87169,                0.59145,                0.38716,                0.82506,               0.001708,               0.001708,               0.001708
                     61,                0.61466,                0.42523,                0.82261,                0.99741,                      1,                  0.995,                0.87169,                0.59145,                0.38716,                0.82506,               0.001703,               0.001703,               0.001703
                     62,                0.71181,                 0.4338,                0.84534,                0.99749,                      1,                  0.995,                0.86136,                0.60453,                0.39299,                0.82811,               0.001698,               0.001698,               0.001698
                     63,                0.67095,                0.42372,                0.85657,                0.99749,                      1,                  0.995,                0.86136,                0.60453,                0.39299,                0.82811,              0.0016931,              0.0016931,              0.0016931
                     64,                0.64552,                0.41351,                0.84918,                0.99666,                      1,                  0.995,                  0.868,                0.58617,                0.38026,                0.82459,              0.0016882,              0.0016882,              0.0016882
                     65,                0.69454,                0.45878,                0.84798,                0.99666,                      1,                  0.995,                  0.868,                0.58617,                0.38026,                0.82459,              0.0016832,              0.0016832,              0.0016832
                     66,                 0.7482,                0.46299,                0.84337,                0.99716,                      1,                  0.995,                 0.8628,                 0.5872,                0.38122,                 0.8245,              0.0016783,              0.0016783,              0.0016783
                     67,                0.61112,                0.41156,                 0.8369,                0.99716,                      1,                  0.995,                 0.8628,                 0.5872,                0.38122,                 0.8245,              0.0016733,              0.0016733,              0.0016733
                     68,                0.67225,                0.42425,                0.85251,                0.99829,                      1,                  0.995,                0.87176,                0.56085,                0.37524,                0.82287,              0.0016684,              0.0016684,              0.0016684
                     69,                0.72369,                0.44089,                0.82297,                0.99829,                      1,                  0.995,                0.87176,                0.56085,                0.37524,                0.82287,              0.0016634,              0.0016634,              0.0016634
                     70,                0.64434,                 0.4152,                0.82133,                0.99879,                      1,                  0.995,                0.88725,                0.55659,                0.37696,                0.82055,              0.0016585,              0.0016585,              0.0016585
                     71,                0.75146,                0.46126,                0.85203,                0.99879,                      1,                  0.995,                0.88725,                0.55659,                0.37696,                0.82055,              0.0016535,              0.0016535,              0.0016535
                     72,                0.71679,                0.44155,                0.82914,                0.99916,                      1,                  0.995,                0.88406,                0.55332,                0.38263,                0.82067,              0.0016485,              0.0016485,              0.0016485
                     73,                0.65546,                0.43711,                 0.8321,                0.99916,                      1,                  0.995,                0.88406,                0.55332,                0.38263,                0.82067,              0.0016436,              0.0016436,              0.0016436
                     74,                0.68767,                0.44503,                0.84553,                0.99923,                      1,                  0.995,                0.87599,                0.57448,                0.38085,                0.82395,              0.0016386,              0.0016386,              0.0016386
                     75,                 0.7472,                0.43519,                0.83784,                0.99923,                      1,                  0.995,                0.87599,                0.57448,                0.38085,                0.82395,              0.0016337,              0.0016337,              0.0016337
                     76,                0.68283,                0.41967,                0.85364,                0.99911,                      1,                  0.995,                0.86658,                0.58717,                0.38794,                0.82761,              0.0016287,              0.0016287,              0.0016287
                     77,                0.72461,                0.43815,                 0.8639,                0.99911,                      1,                  0.995,                0.86658,                0.58717,                0.38794,                0.82761,              0.0016238,              0.0016238,              0.0016238
                     78,                0.66029,                0.41549,                0.80034,                0.99977,                      1,                  0.995,                 0.8732,                0.56361,                0.38036,                 0.8255,              0.0016189,              0.0016189,              0.0016189
                     79,                0.63434,                 0.4053,                0.83651,                0.99977,                      1,                  0.995,                 0.8732,                0.56361,                0.38036,                 0.8255,              0.0016139,              0.0016139,              0.0016139
                     80,                0.64181,                 0.4054,                0.82795,                0.99927,                      1,                  0.995,                0.86986,                0.57539,                0.38821,                0.83307,              0.0016089,              0.0016089,              0.0016089
                     81,                0.66771,                0.40591,                0.83129,                0.99927,                      1,                  0.995,                0.86986,                0.57539,                0.38821,                0.83307,               0.001604,               0.001604,               0.001604
                     82,                0.73541,                0.44038,                0.84767,                0.99884,                      1,                  0.995,                0.88299,                0.55618,                0.36715,                0.82528,              0.0015991,              0.0015991,              0.0015991
                     83,                 0.6407,                0.39075,                0.84233,                0.99884,                      1,                  0.995,                0.88299,                0.55618,                0.36715,                0.82528,              0.0015941,              0.0015941,              0.0015941
                     84,                0.61027,                0.39638,                0.86267,                0.99831,                      1,                  0.995,                0.87526,                0.54798,                0.36993,                0.82087,              0.0015892,              0.0015892,              0.0015892
                     85,                0.68615,                  0.399,                0.82778,                0.99831,                      1,                  0.995,                0.87526,                0.54798,                0.36993,                0.82087,              0.0015842,              0.0015842,              0.0015842
                     86,                0.63289,                0.39939,                 0.8227,                0.99799,                      1,                  0.995,                0.86635,                0.55703,                 0.3747,                0.82008,              0.0015793,              0.0015793,              0.0015793
                     87,                0.69244,                0.44238,                0.82661,                0.99799,                      1,                  0.995,                0.86635,                0.55703,                 0.3747,                0.82008,              0.0015743,              0.0015743,              0.0015743
                     88,                0.74221,                0.43513,                0.84026,                0.98786,                      1,                0.99468,                0.86101,                0.55712,                0.37224,                 0.8172,              0.0015693,              0.0015693,              0.0015693
                     89,                0.64478,                0.40898,                0.85171,                0.98786,                      1,                0.99468,                0.86101,                0.55712,                0.37224,                 0.8172,              0.0015644,              0.0015644,              0.0015644
                     90,                 0.6486,                0.42299,                0.83505,                0.98788,                      1,                0.99362,                0.88199,                0.53151,                0.37252,                0.81584,              0.0015594,              0.0015594,              0.0015594
